first,last,position,year,number,hometown,status,grad_year,name_last_first_initial,name_last_first,name
devin,page,QB,Fr.,6,"Valley Stream, N.Y.",Freshman,2023,"page, d","page, devin",devin page
cadin,olsen,QB,Jr.,8,"Ford City, Pa.",Junior,2025,"olsen, c","olsen, cadin",cadin olsen
jayden,drayton,WR,Jr.,12,"Brunswick, Ga.",Junior,2025,"drayton, j","drayton, jayden",jayden drayton
darius,beauvoir,DB,Jr.,21,"Naples, Fla.",Junior,2025,"beauvoir, d","beauvoir, darius",darius beauvoir
jamal,"bing, jr.",RB,So.,22,"Savannah, Ga.",Sophomore,2024,"bing, jr., j","bing, jr., jamal","jamal bing, jr."
malachi,hosley,RB,So.,1,"Columbus, Ga.",Sophomore,2024,"hosley, m","hosley, malachi",malachi hosley
joey,holliday,LB,Jr.,24,"Atlanta, Ga.",Junior,2025,"holliday, j","holliday, joey",joey holliday
cole,shannon,WR,Jr.,25,"Somerset, N.J.",Junior,2025,"shannon, c","shannon, cole",cole shannon
christian,carter,DB,Jr.,27,"Tampa, Fla.",Junior,2025,"carter, c","carter, christian",christian carter
emmanuel,deng,DB,So.,30,"Dayton, Ohio",Sophomore,2024,"deng, e","deng, emmanuel",emmanuel deng
john,ruvo iv,WR,Sr.,19,"Scottsdale, Ariz.",Senior,2025,"ruvo iv, j","ruvo iv, john",john ruvo iv
kayleb,ervin,DB,Jr.,32,"Las Vegas, Nev.",Junior,2025,"ervin, k","ervin, kayleb",kayleb ervin
devin,malloy,DB,Jr.,4,"Fort Washington, Md.",Junior,2025,"malloy, d","malloy, devin",devin malloy
dj,brown,LB,Sr.,36,"Memphis, Tenn.",Senior,2025,"brown, d","brown, dj",dj brown
josh,narcisse,DB,Jr.,16,"Peekskill, N.Y.",Junior,2025,"narcisse, j","narcisse, josh",josh narcisse
aaron,kruse,OL,Jr.,51,"Johns Creek, Ga.",Junior,2025,"kruse, a","kruse, aaron",aaron kruse
cole,olsztyn,LB,Jr.,33,"Rochester Hills, Mich.",Junior,2025,"olsztyn, c","olsztyn, cole",cole olsztyn
zach,darche,LB/LS,Jr.,53,"Overland Park, Kan.",Junior,2025,"darche, z","darche, zach",zach darche
michael,zack,OL,Jr.,54,"Minesing, Ontario",Junior,2025,"zack, m","zack, michael",michael zack
david,rolands,OL,Jr.,65,"Huntington Woods, Mich.",Junior,2025,"rolands, d","rolands, david",david rolands
luke,sacchetti,OL,Jr.,75,"Ball Ground, Ga.",Junior,2025,"sacchetti, l","sacchetti, luke",luke sacchetti
albert,jang,K/P,Sr.,80,"Duluth, Ga.",Senior,2024,"jang, a","jang, albert",albert jang
dante,barone,TE,Jr.,85,"Colts Neck, N.J.",Junior,2025,"barone, d","barone, dante",dante barone
